背番号,選手名,打率,OPS,ISO,BABIP,得点圏打率,RC27,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,四球,三振
4,度会 隆輝,.321,.774,0.117,.350,.321,5.03,40,147,137,23,44,7,0,3,60,13,2,8,20
7,佐野 恵太,.252,.719,0.125,.273,.295,4.60,43,183,160,20,40,8,0,4,60,21,0,23,24
51,宮﨑 敏郎,.283,.773,0.132,.287,.231,4.77,33,120,106,9,30,5,0,3,44,16,0,10,10
61,蝦名 達夫,.248,.630,0.062,.329,.333,3.37,37,126,113,11,28,4,0,1,35,8,3,8,30
99,ヒュンメル,.208,.640,0.125,.279,.333,3.28,40,111,96,10,20,3,0,3,32,13,0,12,33
50,山本 祐大,.227,.664,0.091,.264,.280,3.83,28,105,88,12,20,5,0,1,28,8,0,13,15
2,牧 秀悟,.333,.898,0.141,.375,.455,7.83,21,92,78,14,26,5,0,2,37,10,1,11,13
26,三森 大貴,.250,.565,0.013,.339,.235,3.16,28,86,80,11,20,1,0,0,21,7,7,6,21
28,勝又 温史,.369,.812,0.060,.449,.478,6.69,27,86,84,10,31,5,0,0,36,14,1,1,15
00,林 琢真,.234,.649,0.130,.321,.350,4.06,29,85,77,9,18,7,0,1,28,14,4,6,24
9,京田 陽太,.282,.635,0.042,.364,.313,3.65,28,75,71,8,20,3,0,0,23,6,1,2,16
25,筒香 嘉智,.302,.891,0.211,.361,.235,7.72,17,70,57,10,16,3,0,3,28,8,0,11,19
5,松尾 汐恩,.217,.544,0.050,.236,.167,1.44,23,66,60,2,13,3,0,0,16,4,0,5,5
48,成瀬 脩人,.237,.500,0.026,.321,.333,1.51,14,38,38,2,9,1,0,0,10,4,0,0,10
34,宮下 朝陽,.125,.367,0.114,.130,.222,-0.15,12,37,35,2,4,1,0,1,8,3,1,1,11
