背番号,選手名,防御率,登板,勝利,敗戦,セーブ,ホールド,投球回,WHIP,QS,K/9,BB/9,被安打,被本塁打,奪三振,四球,自責点
11,東 克樹,1.64,7,4,2,0,0,44.0,0.91,5,7.98,2.25,29,4,39,11,8
54,石田 裕太郎,2.40,8,2,5,0,0,48.2,1.09,4,9.06,1.48,45,1,49,8,13
19,山﨑 康晃,2.03,14,0,0,10,2,13.1,1.05,0,10.13,2.70,10,2,15,4,3
62,レイノルズ,2.37,18,2,0,0,14,19.0,0.89,2,13.74,2.84,11,1,29,6,5
64,中川 虎大,0.60,15,3,1,0,8,15.0,0.67,1,12.60,1.80,7,0,21,3,1
20,坂本 裕哉,1.72,18,0,1,0,3,15.2,1.34,0,6.32,2.30,17,0,11,4,3
15,島田 舜也,1.64,2,1,0,0,0,11.0,0.91,1,8.18,1.64,8,0,10,2,2
30,篠木 健太郎,3.18,3,1,0,0,0,17.0,1.18,1,10.06,3.18,14,1,19,6,6
59,平良 拳太郎,3.81,6,2,2,0,0,26.0,1.08,2,9.35,2.42,21,4,27,7,11
0,デュプランティエ,3.00,2,0,2,0,0,9.0,1.44,0,6.00,5.00,8,0,6,5,3
12,竹田 祐,6.04,5,1,3,0,0,22.1,1.34,1,6.04,2.82,23,4,15,7,15
13,伊勢 大夢,5.19,10,0,0,0,4,8.2,1.96,0,7.27,5.19,12,1,7,5,5
22,入江 大生,4.82,4,0,1,0,0,18.2,1.55,1,11.57,3.86,21,2,24,8,10
24,吉野 光樹,2.00,8,0,0,0,1,9.0,1.22,1,8.00,4.00,7,0,8,4,2
35,橋本 達弥,1.35,6,1,0,0,0,6.2,1.65,0,12.15,10.80,3,0,9,8,1
49,ルイーズ,0.73,13,1,0,0,6,12.1,0.73,0,7.30,0.00,9,0,10,0,1
53,中川 颯,3.68,5,0,0,0,0,7.1,2.05,0,4.91,2.45,13,1,4,2,3
14,石田 健大,7.71,2,0,0,0,0,2.1,1.71,0,11.57,3.86,3,2,3,1,2
42,コックス,3.00,2,1,0,0,0,9.0,1.33,1,7.00,2.00,10,2,7,2,3
98,マルセリーノ,6.75,12,0,0,0,1,14.2,1.91,0,7.36,5.52,19,2,12,9,11
