背番号,選手名,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,死球,四球,三振,併殺打,出塁率,長打率,OPS
4,度会 隆輝,.321,40,147,137,23,44,7,0,3,60,13,2,1,8,20,5,.363,.438,.801
7,佐野 恵太,.252,42,179,159,20,40,8,0,4,60,21,0,0,20,24,4,.335,.377,.712
2,牧 秀悟,.333,21,92,78,14,26,5,0,2,37,10,1,2,11,13,1,.424,.474,.898
51,宮﨑 敏郎,.283,32,120,106,9,30,5,0,3,44,16,0,3,10,10,6,.358,.415,.773
61,蝦名 達夫,.241,36,121,108,11,26,3,0,1,32,7,3,4,8,28,2,.317,.296,.613
99,ヒュンメル,.200,39,110,95,10,19,2,0,3,30,13,0,2,12,33,3,.300,.316,.616
50,山本 祐大,.227,28,105,88,12,20,5,0,1,28,8,0,3,13,15,3,.346,.318,.664
00,林 琢真,.234,29,85,77,9,18,7,0,1,28,14,4,0,6,24,0,.286,.364,.650
25,筒香 嘉智,.302,16,65,53,9,16,3,0,3,28,8,0,1,10,17,0,.415,.528,.943
26,勝又 温史,.367,26,81,79,10,29,5,0,0,34,12,1,1,1,15,0,.383,.430,.813
9,京田 陽太,.286,27,74,70,8,20,3,0,0,23,6,1,1,2,15,1,.315,.329,.644
?,三森 大貴,.250,27,86,80,10,20,1,0,0,21,7,7,0,6,21,0,.302,.263,.565
5,松尾 汐恩,.193,22,62,57,1,11,2,0,0,13,3,0,0,5,5,4,.258,.228,.486
?,成瀬 脩人,.235,13,34,34,2,8,1,0,0,9,4,0,0,0,9,1,.235,.265,.500
